Team,City,Home ground,Debut,Captain,Head coach,Owner(s)
Chennai Super Kings,"Chennai, Tamil Nadu",M. A. Chidambaram Stadium,2008,Ruturaj Gaikwad,Stephen Fleming,N. Srinivasan family[81]
Delhi Capitals,"New Delhi, Delhi",Arun Jaitley Stadium,2008,Axar Patel,Hemang Badani,GMR Group (50%) JSW Group (50%)[82]
Gujarat Titans,"Ahmedabad, Gujarat",Narendra Modi Stadium,2022,Shubman Gill,Ashish Nehra,Torrent Group (67%) CVC Capital (33%)[83]
Kolkata Knight Riders,"Kolkata, West Bengal",Eden Gardens,2008,Ajinkya Rahane,Chandrakant Pandit,Shah Rukh Khan (55%) Mehta Group (45%)[83]
Lucknow Super Giants,"Lucknow, Uttar Pradesh",BRSABV Ekana Stadium,2022,Rishabh Pant,Justin Langer,RP-Sanjiv Goenka Group[84]
Mumbai Indians,"Mumbai, Maharashtra",Wankhede Stadium,2008,Hardik Pandya,Mahela Jayawardene,Reliance Industries[85]
Punjab Kings,"Mullanpur, Mohali, Punjab",Maharaja Yadavindra Singh Stadium,2008,Shreyas Iyer,Ricky Ponting,Mohit Burman (48%) Ness Wadia (23%) Preity Zinta (23%) Karan Paul (6%)[86]
Rajasthan Royals,"Jaipur, Rajasthan",Sawai Mansingh Stadium,2008,Sanju Samson,Rahul Dravid,Manoj Badale (65%) RedBird (15%) Lachlan Murdoch (13%)[87]
Royal Challengers Bengaluru,"Bengaluru, Karnataka",M. Chinnaswamy Stadium,2008,Rajat Patidar,Andy Flower,United Spirits[88]
Sunrisers Hyderabad,"Hyderabad, Telangana",Rajiv Gandhi Stadium,2013,Pat Cummins,Daniel Vettori,Sun TV Network[89]
